P1   83%  مفتوح      project1-commerce-intelligence ذكاء التجارة — Project1  (2026-09-14)
P1   70%  مفتوح      master                     المقر الرئيسي / Master HQ  (2026-09-12)
P2   46%  مفتوح      arabbank                   عرب بنك / لوحة التشغيل  (2026-09-14)
P2   92%  بانتظار ردّك bara-ah-alshobaki          براءة الشوبكي  (2026-09-13)
P2    0%  مفتوح      controlling-ai             المتحكم الهندسي  (2026-09-10)
P2    0%  مفتوح      wathiqa                    وثيقة  (2026-09-10)
P3   85%  مفتوح      factories                  المصانع  (2026-09-14)
P3   78%  مفتوح      site-creator-vinext-starter site-creator-vinext-starter  (2026-09-13)
P3    0%  مفتوح      belt                       Belt  (2026-09-12)
P3    0%  مفتوح      aipro                      AI_Pro  (2026-09-10)
P3    0%  مفتوح      dashboard                  dashboard  (2026-09-10)
P3    0%  مفتوح      mahdi-hreeaf               mahdi-hreeaf  (2026-09-10)
P3    0%  مفتوح      gandalf                    gandalf  (2026-09-10)
P3    0%  مفتوح      apccasystemscom            apccasystems.com  (2026-09-10)
P3    0%  مفتوح      apca-smarthelp             APCA-SmartHelp  (2026-09-10)
P3    0%  مفتوح      mytasks                    MyTasks  (2026-09-10)
P3    0%  مفتوح      esolutionsv                esolutionsv  (2026-09-10)
P3    0%  مفتوح      smart-agent-hub            smart-agent-hub  (2026-09-10)
P3    0%  مفتوح      the-farm-dairy             the-farm-dairy  (2026-09-10)
P3    0%  مفتوح      jitan-group                jitan-group  (2026-09-10)
P3    0%  مفتوح      gepico                     gepico  (2026-09-10)
P3    0%  مفتوح      rz-packaging               rz-packaging  (2026-09-10)
P3    0%  مفتوح      chatbase                   chatbase  (2026-09-10)
P3    0%  مفتوح      crf-audit                  crf-audit  (2026-09-10)
P3    0%  مفتوح      arcsolverweb               arc_solver_web  (2026-09-10)
P3    0%  مفتوح      nour-industrial-ai         nour-industrial-ai  (2026-09-10)
P3    0%  مفتوح      al-majjarra                al-majjarra  (2026-09-10)
P3    0%  مفتوح      almara3i                   AlMara3i  (2026-09-10)
P3    0%  مفتوح      attmp                      attmp  (2026-09-10)
P3    0%  مفتوح      banoon-kids                banoon-kids  (2026-09-10)
P3    0%  مفتوح      albayrouty                 albayrouty  (2026-09-10)
P3    0%  مفتوح      arcprize2026               arc_prize_2026  (2026-09-10)
P3    0%  مفتوح      rctc-skill                 rctc-skill  (2026-09-10)
P3    0%  مفتوح      zaha-almajali              zaha-almajali  (2026-09-10)
P3    0%  مفتوح      khudhni                    khudhni  (2026-09-10)
P3    0%  مفتوح      ghayari                    ghayari  (2026-09-10)
P3    0%  مفتوح      project-iso                project-iso  (2026-09-10)
P3    0%  مفتوح      apcasystems                apcasystems  (2026-09-10)
P3    0%  مفتوح      muqasa-jo-2                Muqasa-Jo  (2026-09-10)
P3    0%  مفتوح      muqasa-jo                  Muqasa-Jo  (2026-09-10)
P3    0%  مفتوح      nextn                      nextn  (2026-09-10)
P3    0%  مفتوح      bugbounty12w               bug_bounty_12w  (2026-09-10)
P5    0%  سكون       fluttersmsgateway          flutter_sms_gateway  (2026-09-10)
P5    0%  سكون       saqrandrakan               نظام الجودة (QMS) — مجمّد  (2026-09-10)
P5    0%  سكون       flutterapp                 flutter_app  (2026-09-10)
P-   85%  مفتوح      giz-apca-industrial-ai     أكاديمية أبكا لمهارات وسلامة الذكاء الاصطناعي الصناعي  (2026-09-14)
